"_id__$oid","cycles__001","election_districts__001","federal_funds_flag","election_years__001","office_full","load_date","last_f2_date","office","flags","incumbent_challenge","district_number","first_file_date","candidate_status","candidate_inactive","state","party","active_through","name","party_full","has_raised_funds","last_file_date","incumbent_challenge_full","candidate_id","inactive_election_years","district","cycles__002","cycles__003","cycles__004","election_districts__002","election_years__002","election_years__003","cycles__005","cycles__006","cycles__007","election_districts__003","inactive_election_years__-","cycles__008","cycles__009","cycles__010","election_districts__004","election_districts__005","election_districts__006","election_districts__007","election_districts__008","election_districts__009","election_districts__010","election_years__004","election_years__005","election_years__006","election_years__007","election_years__008","election_years__009","election_years__010","election_years__011","election_years__012","election_districts__011","election_districts__012","cycles__011","cycles__012"
"60ad40fe9bac61a042766680","2020","06","False","2020","House","2019-07-22T21:11:27+00:00","2019-02-18","H","H0MO06180","C","6","2019-02-18","C","False","MO","DEM","2020","ABUNDIS, VICTOR","DEMOCRATIC PARTY","True","2019-02-18","Challenger","H0MO06180","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766681","2012","00","False","2012","Senate","2018-02-17T09:16:20+00:00","2012-11-14","S","S2MO00429","C","0","2011-05-18","C","False","MO","REP","2018","AKIN, W TODD","REPUBLICAN PARTY","True","2012-11-14","Challenger","S2MO00429","null","00","2014","2016","2018","00","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766682","2018","06","False","2018","House","2018-04-17T21:13:11+00:00","2018-02-07","H","H8MO06118","C","6","2018-02-07","C","False","MO","DEM","2018","APPLE, GARY WINSTON","DEMOCRATIC PARTY","True","2018-02-07","Challenger","H8MO06118","null","06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766683","2020","05","False","2020","House","2020-08-21T01:04:24+00:00","2020-06-17","H","H0MO05216","C","5","2020-06-17","C","False","MO","REP","2020","BARHAM, JERRY","REPUBLICAN PARTY","True","2020-06-17","Challenger","H0MO05216","null","05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766684","2018","02","False","2018","House","2018-02-07T21:13:27+00:00","2017-11-26","H","H8KS02207","O","2","2017-11-26","C","False","KS","REP","2018","BEVENS, MATTHEW RYAN","REPUBLICAN PARTY","True","2017-11-26","Open seat","H8KS02207","null","02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766685","2010","00","False","2010","Senate","2021-04-07T08:02:02+00:00","2016-12-27","S","S0MO00183","I","0","2009-02-19","C","True","MO","REP","2022","BLUNT, ROY","REPUBLICAN PARTY","True","2016-12-27","Incumbent","S0MO00183","","00","2012","2014","2016","00","2016","2022","2018","2020","2022","00","2022","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766686","2020","00","False","2020","Senate","2021-04-16T01:09:08+00:00","2021-04-15","S","S0KS00323","O","0","2019-10-16","C","False","KS","DEM","2020","BOLLIER, BARBARA","DEMOCRATIC PARTY","True","2021-04-15","Open seat","S0KS00323","null","00","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766687","2020","00","False","2020","Senate","2019-10-17T21:13:50+00:00","2019-06-28","S","S0KS00224","O","0","2019-06-28","C","False","KS","DEM","2020","BOYDA, NANCY E","DEMOCRATIC PARTY","True","2019-06-28","Open seat","S0KS00224","null","00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766688","2018","01","False","2018","House","2021-01-29T01:13:04+00:00","2020-12-22","H","H8MO01143","I","1","2017-04-20","C","False","MO","DEM","2022","BUSH, CORI","DEMOCRATIC PARTY","True","2020-12-22","Incumbent","H8MO01143","null","01","2020","2022","","01","2020","2022","","","","01","","","","","","","","","","","","","","","","","","","","","","","",""
"60ad40fe9bac61a042766689","2016","07","False","2016","House","2016-07-11T20:58:46+00:00","2016-05-16","H","H6MO07268","C","7","2016-05-16","C","False","MO","REP","2016","BYRNE, MARY RADASZEWSKI MRS","REPUBLICAN PARTY","True","2016-05-16","Challenger","H6MO07268","null","07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
