"_id__$oid","total","cycle","state_full","state","candidate_id","count"
"60ad40f39bac61a042766414","415.71","2014","Kansas","KS","H0KS01123","4"
"60ad40f39bac61a042766415","75.0","2016","Kansas","KS","H0KS01123","1"
"60ad40f39bac61a042766416","2800.0","2020","Arkansas","AR","H0KS01123","1"
"60ad40f39bac61a042766417","11200.0","2020","Arizona","AZ","H0KS01123","4"
"60ad40f39bac61a042766418","13770.2","2020","California","CA","H0KS01123","16"
"60ad40f39bac61a042766419","750.0","2020","Colorado","CO","H0KS01123","4"
"60ad40f39bac61a04276641a","1750.0","2020","District Of Columbia","DC","H0KS01123","4"
"60ad40f39bac61a04276641b","3050.0","2020","Florida","FL","H0KS01123","2"
"60ad40f39bac61a04276641c","475.0","2020","Georgia","GA","H0KS01123","2"
"60ad40f39bac61a04276641d","251.0","2020","Illinois","IL","H0KS01123","1"
"60ad40f39bac61a04276641e","904158.16","2020","Kansas","KS","H0KS01123","750"
"60ad40f39bac61a04276641f","2100.0","2020","Maryland","MD","H0KS01123","4"
"60ad40f39bac61a042766420","500.0","2020","Michigan","MI","H0KS01123","1"
"60ad40f39bac61a042766421","1000.0","2020","Minnesota","MN","H0KS01123","1"
"60ad40f39bac61a042766422","49200.0","2020","Missouri","MO","H0KS01123","47"
"60ad40f39bac61a042766423","5600.0","2020","North Dakota","ND","H0KS01123","4"
"60ad40f39bac61a042766424","2800.0","2020","Nebraska","NE","H0KS01123","1"
"60ad40f39bac61a042766425","1500.0","2020","Oklahoma","OK","H0KS01123","3"
"60ad40f39bac61a042766426","250.0","2020","Oregon","OR","H0KS01123","1"
"60ad40f39bac61a042766427","250.0","2020","Tennessee","TN","H0KS01123","1"
"60ad40f49bac61a042766428","18250.0","2020","Texas","TX","H0KS01123","17"
"60ad40f49bac61a042766429","13650.0","2020","Virginia","VA","H0KS01123","11"
"60ad40f49bac61a04276642a","500.0","2020","Wyoming","WY","H0KS01123","1"
"60ad40f49bac61a04276642b","2800.0","2020","Alabama","AL","H0KS02188","1"
"60ad40f49bac61a04276642c","2000.0","2020","Arkansas","AR","H0KS02188","3"
"60ad40f49bac61a04276642d","7115.0","2020","Arizona","AZ","H0KS02188","7"
"60ad40f49bac61a04276642e","10400.0","2020","California","CA","H0KS02188","10"
"60ad40f49bac61a04276642f","750.0","2020","Colorado","CO","H0KS02188","2"
"60ad40f49bac61a042766430","3800.0","2020","Connecticut","CT","H0KS02188","2"
"60ad40f49bac61a042766431","6600.0","2020","District Of Columbia","DC","H0KS02188","5"
"60ad40f49bac61a042766432","16000.0","2020","Florida","FL","H0KS02188","9"
"60ad40f49bac61a042766433","5600.0","2020","Idaho","ID","H0KS02188","2"
"60ad40f49bac61a042766434","13450.0","2020","Illinois","IL","H0KS02188","9"
"60ad40f49bac61a042766435","1000.0","2020","Indiana","IN","H0KS02188","1"
"60ad40f49bac61a042766436","1017346.67","2020","Kansas","KS","H0KS02188","930"
"60ad40f49bac61a042766437","500.0","2020","Kentucky","KY","H0KS02188","1"
"60ad40f49bac61a042766438","2800.0","2020","Louisiana","LA","H0KS02188","1"
"60ad40f49bac61a042766439","6100.0","2020","Massachusetts","MA","H0KS02188","3"
"60ad40f49bac61a04276643a","3000.0","2020","Maryland","MD","H0KS02188","3"
"60ad40f49bac61a04276643b","500.0","2020","Michigan","MI","H0KS02188","1"
"60ad40f49bac61a04276643c","500.0","2020","Wyoming","WY","H0KS02188","1"
"60ad40f49bac61a04276643d","39250.0","2014","Maryland","MD","S0MO00183","28"
"60ad40f49bac61a04276643e","343823.0","2016","California","CA","S0MO00183","292"
